season,team_name,location,stadium_name,stadium_capacity,average_attendance,manager_name,promoted,captain
2016/2017,Sunderland,Sunderland,Stadium of Light,49000,41286,David Moyes,False,John O'Shea
2016/2017,Swansea City,Swansea,Liberty Stadium,20972,20619,Paul Clement,False,Leon Britton
2016/2017,Tottenham Hotspur,London (Tottenham),White Hart Lane,32000,31639,Mauricio Pochettino,False,Hugo Lloris
2016/2017,Watford,Watford,Vicarage Road,21977,20571,Walter Mazzarri,False,Troy Deeney
2016/2017,West Bromwich Albion,West Bromwich,The Hawthorns,26500,23902,Tony Pulis,False,Darren Fletcher
2016/2017,West Ham United,London (Stratford),London Stadium[c],57000,56971,Slaven Bilić,False,Mark Noble
2017/2018,Arsenal,London (Holloway),Emirates Stadium,59867,59322,Arsène Wenger,False,Per Mertesacker
2017/2018,Bournemouth,Bournemouth,Vitality Stadium,11360,10620,Eddie Howe,False,Simon Francis
2017/2018,Brighton & Hove Albion,Falmer,Falmer Stadium,30666,30402,Chris Hughton,True,Bruno
2017/2018,Burnley,Burnley,Turf Moor,21944,20688,Sean Dyche,False,Tom Heaton
2017/2018,Chelsea,London (Fulham),Stamford Bridge,41631,41281,Antonio Conte,False,Gary Cahill
2017/2018,Crystal Palace,London (Selhurst),Selhurst Park,25456,25062,Roy Hodgson,False,Jason Puncheon
2017/2018,Everton,Liverpool (Walton),Goodison Park,39595,38797,Sam Allardyce,False,Phil Jagielka
2017/2018,Huddersfield Town,Huddersfield,Kirklees Stadium,24169,24039,David Wagner,True,Tommy Smith
2017/2018,Leicester City,Leicester,King Power Stadium,32273,31583,Claude Puel,False,Wes Morgan
2017/2018,Liverpool,Liverpool (Anfield),Anfield,53394,53049,Jürgen Klopp,False,Jordan Henderson
2017/2018,Manchester City,Manchester (Bradford),City of Manchester Stadium,55017,54054,Pep Guardiola,False,Vincent Kompany
2017/2018,Manchester United,Manchester (Old Trafford),Old Trafford,74994,74975,José Mourinho,False,Michael Carrick
2017/2018,Newcastle United,Newcastle upon Tyne,St James' Park,52354,51991,Rafael Benítez,True,Jamaal Lascelles
