player_name,observation_weight,season_count,unweighted_average_hra,weighted_average_hra
Phil Jagielka,86,9,0.15942268969229742,0.09197674418604655
Carlos Cuellar,30,4,0.14035130718954236,0.09233333333333311
Diogo Jota,34,5,0.14676767676767657,0.09352941176470567
Matt Targett,36,6,0.190279866332498,0.09388888888888919
Patrick van Aanholt,66,7,0.12372179174700203,0.09454545454545481
Darren Fletcher,63,5,0.013134310134310035,0.09650793650793646
Mikel Arteta,46,4,0.10886363636363594,0.10021739130434751
Vincent Kompany,67,10,0.0048750000000003626,0.10194029850746308
Hugo Lloris,156,11,0.11657364947573919,0.10211538461538455
Fernandinho,80,9,0.03944532627865982,0.10450000000000022
Steven Caulker,47,4,0.04711293859649103,0.10553191489361675
Ayoze Perez,49,6,0.2749603174603177,0.1059183673469393
Vladimir Coufal,33,3,0.11261760461760444,0.10606060606060591
Alex Iwobi,46,7,0.12758270676691716,0.10652173913043475
Ben White,47,3,0.10384615384615377,0.10744680851063823
Damien Duff,37,5,0.2261111111111111,0.10783783783783771
Antonio Rudiger,44,5,0.1749841269841273,0.10840909090909143
Dominic Calvert-Lewin,40,6,0.017980574980575103,0.11125000000000038
Carlos Tevez,36,3,0.14291269841269855,0.11138888888888905
John Stones,45,9,0.17738074888074873,0.11177777777777778
Ollie Watkins,51,3,0.11188725490196083,0.11235294117647063
Phil Jones,43,8,0.14166666666666672,0.11348837209302327
Branislav Ivanovic,96,7,0.08769314918950065,0.1189583333333336
Robin van Persie,50,6,0.12403935185185187,0.12059999999999993
Pepe Reina,65,4,0.0986162280701752,0.12107692307692285
Nacho Monreal,53,6,0.09193382352941167,0.12113207547169817
Michael Dawson,44,6,0.13804629629629664,0.12272727272727314
Craig Dawson,84,8,0.1992985446570973,0.12321428571428569
Brede Hangeland,74,6,0.20237119909817278,0.12324324324324311
Jamie Carragher,33,4,0.00011111111111115901,0.12363636363636402
Joe Hart,122,8,-0.017980064284486286,0.12377049180327811
Rodri,53,4,0.11143452380952375,0.1243396226415094
Matt Ritchie,51,5,0.16142142857142847,0.12490196078431366
Salomon Rondon,51,5,0.20562354312354342,0.1254901960784317
Dele Alli,52,5,0.04531666666666663,0.12807692307692292
Conor Gallagher,31,3,0.2498333333333337,0.13225806451612943
Andrew Surman,38,5,0.13441403508771915,0.1323684210526311
Nemanja Vidic,35,4,0.14902281746031742,0.1337142857142859
Douglas Luiz,49,4,0.13611263736263735,0.1338775510204082
Kieran Gibbs,32,7,-0.19343537414965994,0.13406249999999992
Cesar Azpilicueta,136,11,0.12075651675778323,0.13485294117647068
Aaron Cresswell,113,9,0.13945210484103665,0.13654867256637157
Joachim Andersen,38,3,0.1187212787212788,0.1371052631578948
James Tarkowski,99,6,0.14404992260061902,0.137171717171717
Etienne Capoue,60,5,0.10966810966810969,0.13766666666666674
Alan Hutton,37,4,0.09606818181818166,0.13783783783783765
Scott Dann,63,9,0.21569444444444463,0.1382539682539685
John Ruddy,47,3,0.11876608187134491,0.14085106382978707
James Morrison,50,7,0.2458095238095239,0.1444000000000001
Cameron Jerome,39,5,0.07397875457875448,0.14512820512820468
Adam Smith,57,6,0.13276785714285744,0.14526315789473698
Rio Ferdinand,33,6,0.2433585858585857,0.14666666666666645
Kevin Doyle,30,3,0.1921428571428573,0.14800000000000016
David Silva,104,10,0.1596861999111997,0.1491346153846151
Alex McCarthy,32,5,0.30544444444444424,0.1499999999999996
Alexandre Lacazette,36,5,0.1360309523809521,0.15083333333333296
Jeff Hendrick,43,5,0.03011587301587324,0.15209302325581406
Leon Britton,43,6,0.14438087606837643,0.15325581395348892
Winston Reid,49,6,0.07400386215092099,0.15387755102040854
Leighton Baines,116,10,0.07732369385000977,0.15551724137931042
Claudio Yacob,40,6,0.6250277777777776,0.15650000000000008
Oriol Romeu,68,8,0.2899077380952382,0.15808823529411797
Mohamed Diame,61,6,0.19837179487179477,0.1606557377049178
Fabrice Muamba,33,3,0.24927579365079355,0.1609090909090909
Michel Vorm,33,3,0.040376984126983935,0.16272727272727253
Rory Delap,32,3,0.10014285714285737,0.16281250000000003
Aaron Hughes,41,4,0.14924780701754378,0.1641463414634146
Ryan Shawcross,126,9,0.19910451930059792,0.16436507936507955
Gareth Barry,103,9,0.14994444444444424,0.16601941747572796
Lucas Digne,48,5,0.04681590909090955,0.1679166666666673
Jeffrey Schlupp,35,7,0.2872186147186149,0.16914285714285746
Gary Caldwell,32,4,1.1513014705882352,0.1699999999999999
Martin Olsson,52,6,0.3029878618113915,0.17269230769230795
Roberto Firmino,82,8,-0.15365493360805899,0.17317073170731667
Pablo Zabaleta,81,11,0.06690699199790107,0.17320987654320982
Steve Sidwell,30,5,0.3174967320261436,0.1739999999999998
Zanka,30,4,0.2741917293233085,0.17633333333333406
Michail Antonio,56,8,0.21466071428571443,0.17678571428571446
Jordan Ayew,74,7,0.03219155844155846,0.17783783783783785
Patrice Evra,80,5,0.1671809523809522,0.1787499999999998
James Collins,60,9,0.07173860398860357,0.17899999999999963
Victor Wanyama,41,4,0.13269602272727263,0.17902439024390243
Ahmed El Mohamady,57,5,0.16429210526315802,0.17947368421052634
Nathan Ake,65,8,0.25835285419989346,0.17984615384615357
Steven Davis,56,6,0.19086538461538463,0.17999999999999985
Dwight McNeil,61,5,0.017335087719298602,0.18180327868852503
Dimitar Berbatov,33,5,0.1355476190476189,0.18181818181818177
Wilfried Zaha,106,9,0.21737654320987645,0.18603773584905658
Steven Nzonzi,77,6,0.050938178780283803,0.18623376623376597
Sergio Aguero,73,10,0.11181861471861483,0.18698630136986313
John Arne Riise,30,3,0.16645833333333346,0.1873333333333335
Joel Matip,32,5,0.3212857142857146,0.18906250000000013
Ilkay Gundogan,38,6,0.22731150793650792,0.18921052631578955
Toby Alderweireld,78,6,0.2038980595427964,0.1893589743589744
Antonio Valencia,67,8,0.3661174242424241,0.1894029850746266
Pablo Fornals,37,4,0.1832886904761903,0.19135135135135115
Trent Alexander-Arnold,73,6,0.24204594017094014,0.1921917808219178
Jorginho,46,5,0.2961737373737371,0.19369565217391282
Andrew Robertson,91,8,0.20498698869499962,0.19549450549450564
